longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,bedrooms_per_household,population_per_household,bedrooms_per_room,household_density,room_density,distance_to_LA,distance_to_SF,distance_to_SD,coastal_proximity,income_per_person,income_squared,income_log,age_squared,age_log,income_age_interaction,income_rooms_interaction,~income_bin,~age_bin,~pop_density_bin,~ocean_proximity_INLAND,~ocean_proximity_ISLAND,~ocean_proximity_NEAR BAY,~ocean_proximity_NEAR OCEAN,median_house_value
-121.94,37.54,27,3715,526,1631,538,6.2179,6.905204461,0.977695167,3.031598513,0.141588156,0.329858982,2.277743716,5.08206479,0.533856132,6.790563725,121.94,2.051030166,38.66228041,1.976564052,729,3.33220451,167.8833,42.93587082,1,2,0,0,0,0,0,305300
-121.94,37.53,33,2095,342,941,304,5.761,6.891447368,1.125,3.095394737,0.163245823,0.323060574,2.226354942,5.075207043,0.538331097,6.783462958,121.94,1.861151966,33.189121,1.911170808,1089,3.526360525,190.113,39.70162829,1,2,0,0,0,0,0,259600
-121.95,37.54,29,3517,645,1724,585,4.6641,6.011965812,1.102564103,2.947008547,0.183394939,0.339327146,2.040023202,5.089342642,0.524894628,6.797604997,121.95,1.582655742,21.75382881,1.734148012,841,3.401197382,135.2589,28.04040974,1,2,0,0,0,0,0,248900
-121.94,37.54,31,2537,382,1067,410,6.7599,6.187804878,0.931707317,2.602439024,0.150571541,0.38425492,2.37769447,5.08206479,0.533856132,6.790563725,121.94,2.597524836,45.69624801,2.048969448,961,3.465735903,209.5569,41.8289422,2,2,0,0,0,0,0,356000
-121.96,37.53,23,2215,475,1278,492,4.2955,4.50203252,0.965447154,2.597560976,0.214446953,0.384976526,1.733176839,5.0897916,0.52060001,6.797567631,121.96,1.653666667,18.45132025,1.666857403,529,3.17805383,98.7965,19.33848069,1,1,0,0,0,0,0,218800
-121.96,37.53,28,2949,529,1538,545,4.9615,5.411009174,0.970642202,2.822018349,0.179382842,0.354356307,1.917425228,5.0897916,0.52060001,6.797567631,121.96,1.758138817,24.61648225,1.785322127,784,3.36729583,138.922,26.84672202,1,2,0,0,0,0,0,228000
-121.96,37.53,18,2375,652,1252,586,2.6198,4.052901024,1.112627986,2.136518771,0.274526316,0.468051118,1.896964856,5.0897916,0.52060001,6.797567631,121.96,1.226200319,6.86335204,1.286418776,324,2.944438979,47.1564,10.6177901,0,1,0,0,0,0,0,235900
-121.97,37.54,28,2312,496,1344,467,4.7135,4.950749465,1.062098501,2.877944325,0.214532872,0.347470238,1.720238095,5.103925992,0.507088128,6.811709749,121.97,1.637800967,22.21708225,1.742831796,784,3.36729583,131.978,23.3353576,1,2,0,0,0,0,0,203200
-121.97,37.53,35,2277,420,1353,413,4.75,5.513317191,1.016949153,3.276029056,0.184453228,0.305247598,1.682926829,5.097097657,0.511797196,6.804631048,121.97,1.44992609,22.5625,1.749199855,1225,3.583518938,166.25,26.18825666,1,2,0,0,0,0,0,197000
-121.97,37.53,26,2506,387,1273,406,5.4299,6.172413793,0.95320197,3.13546798,0.15442937,0.318931658,1.968578162,5.097097657,0.511797196,6.804631048,121.97,1.731767007,29.48381401,1.860958986,676,3.295836866,141.1774,33.51558966,1,1,0,0,0,0,0,236400
-121.98,37.53,28,2829,566,1610,540,4.6,5.238888889,1.048148148,2.981481481,0.200070696,0.335403727,1.757142857,5.104412849,0.503039134,6.811701821,121.98,1.542857143,21.16,1.722766598,784,3.36729583,128.8,24.09888889,1,2,0,0,0,0,0,223200
-121.98,37.53,26,3179,703,2142,639,4.1947,4.974960876,1.100156495,3.352112676,0.221138723,0.298319328,1.484126984,5.104412849,0.503039134,6.811701821,121.98,1.251360084,17.59550809,1.647638875,676,3.295836866,109.0622,20.86846839,1,1,0,0,0,0,0,222700
-121.99,37.54,26,2332,371,1285,404,5.388,5.772277228,0.918316832,3.180693069,0.159090909,0.314396887,1.814785992,5.118545939,0.489451091,6.825843955,121.99,1.693970428,29.030544,1.85442123,676,3.295836866,140.088,31.1010297,1,1,0,0,0,0,0,225000
-121.99,37.54,18,3584,715,1673,661,3.9444,5.422087746,1.081694402,2.531013616,0.199497768,0.395098625,2.142259414,5.118545939,0.489451091,6.825843955,121.99,1.558427017,15.55829136,1.598255623,324,2.944438979,70.9992,21.3868829,1,1,0,0,0,0,0,240100
-121.99,37.54,28,3046,507,1772,516,5.3283,5.903100775,0.98255814,3.434108527,0.1664478,0.291196388,1.718961625,5.118545939,0.489451091,6.825843955,121.99,1.551581716,28.39078089,1.845031638,784,3.36729583,149.1924,31.45349186,1,2,0,0,0,0,0,227900
-121.99,37.55,28,2414,415,1106,453,4.8403,5.328918322,0.91611479,2.441501104,0.171913836,0.409584087,2.182640145,5.125365209,0.484731235,6.832915315,121.99,1.982509855,23.42850409,1.764782165,784,3.36729583,135.5284,25.79356336,1,2,0,0,0,0,0,268600
-122,37.54,29,4133,744,2023,749,5.1616,5.518024032,0.993324433,2.700934579,0.180014517,0.370242215,2.043005437,5.125869539,0.480701955,6.832922047,122,1.911042215,26.64211456,1.818336484,841,3.401197382,149.6864,28.48183284,1,2,0,0,0,0,0,275100
-122,37.54,26,1910,371,852,357,5.8325,5.350140056,1.039215686,2.386554622,0.194240838,0.419014085,2.241784038,5.125869539,0.480701955,6.832922047,122,2.443899648,34.01805625,1.921690639,676,3.295836866,151.645,31.20469188,1,1,0,0,0,0,0,298900
-121.99,37.53,25,5405,939,2831,923,5.0423,5.855904659,1.017334778,3.067172264,0.17372803,0.326033204,1.909219357,5.111737134,0.494328201,6.818779928,121.99,1.643957224,25.42478929,1.798784734,625,3.258096538,126.0575,29.52722806,1,1,0,0,0,0,0,222200
-121.97,37.52,26,3761,623,1776,613,4.5317,6.135399674,1.016313214,2.897226754,0.165647434,0.345157658,2.11768018,5.090279809,0.516656917,6.797559687,121.97,1.564150957,20.53630489,1.710495182,676,3.295836866,117.8242,27.8037907,1,1,0,0,0,0,0,232600
-121.97,37.51,25,3333,511,1671,504,5.4359,6.613095238,1.013888889,3.31547619,0.153315332,0.301615799,1.994614004,5.083472487,0.521663081,6.790495689,121.97,1.639553321,29.54900881,1.861891691,625,3.258096538,135.8975,35.9481244,1,1,0,0,0,0,0,258300
-121.97,37.52,23,4925,948,2530,894,5.0824,5.508948546,1.060402685,2.829977629,0.19248731,0.353359684,1.946640316,5.090279809,0.516656917,6.797559687,121.97,1.795915257,25.83078976,1.805399355,529,3.17805383,116.8952,27.99868009,1,1,0,0,0,0,0,230900
-121.95,37.52,33,3994,764,2721,763,5.2308,5.234600262,1.001310616,3.566186107,0.19128693,0.280411613,1.467842705,5.075657251,0.534144522,6.783425514,121.95,1.466777067,27.36126864,1.829504735,1089,3.526360525,172.6164,27.38114705,1,2,0,0,0,0,0,196900
-121.96,37.52,26,4211,741,2352,734,5.2396,5.737057221,1.009536785,3.204359673,0.175967704,0.31207483,1.790391156,5.082963951,0.525378311,6.790488915,121.96,1.635147279,27.45340816,1.830916078,676,3.295836866,136.2296,30.05988501,1,1,0,0,0,0,0,223900
-121.93,37.53,27,5532,973,2855,960,4.7478,5.7625,1.013541667,2.973958333,0.175885756,0.336252189,1.93765324,5.067928623,0.547255306,6.776421748,121.93,1.596458144,22.54160484,1.748817173,729,3.33220451,128.1906,27.3591975,1,2,0,0,0,0,0,243500
-121.92,37.48,23,4314,676,1972,623,5.3813,6.924558587,1.085072231,3.165329053,0.156699119,0.315922921,2.187626775,5.026429601,0.579971008,6.733920381,121.92,1.700076014,28.95838969,1.853371838,529,3.17805383,123.7699,37.26312713,1,1,0,0,0,0,0,264400
-121.92,37.47,26,2016,322,1105,357,6.0878,5.647058824,0.901960784,3.095238095,0.159722222,0.323076923,1.824434389,5.019615377,0.585119108,6.726849017,121.92,1.966827692,37.06130884,1.958374996,676,3.295836866,158.2828,34.37816471,1,1,0,0,0,0,0,246900
-121.92,37.72,22,4638,716,2302,687,5.347,6.751091703,1.042212518,3.350800582,0.154376887,0.298436142,2.014769765,5.19306639,0.502408569,6.905805362,121.92,1.595738054,28.590409,1.84798226,484,3.135494216,117.634,36.09808734,1,1,0,0,0,0,0,219500
-121.91,37.71,25,4377,668,2038,671,5.7233,6.523099851,0.995529061,3.037257824,0.152615947,0.329244357,2.147693817,5.178924264,0.513517643,6.891667701,121.91,1.88436423,32.75616289,1.905579105,625,3.258096538,143.0825,37.33365738,1,1,0,0,0,0,0,231800
-121.93,37.72,26,3816,637,1935,642,4.4697,5.943925234,0.992211838,3.014018692,0.166928721,0.331782946,1.972093023,5.200150433,0.492469664,6.912700319,121.93,1.482970233,19.97821809,1.69922377,676,3.295836866,116.2122,26.56756262,1,1,0,0,0,0,0,221300
-121.93,37.72,26,2806,459,1453,444,4.9107,6.31981982,1.033783784,3.272522523,0.163578047,0.305574673,1.931176875,5.200150433,0.492469664,6.912700319,121.93,1.500585547,24.11497449,1.776764268,676,3.295836866,127.6782,31.03473919,1,1,0,0,0,0,0,213800
-121.93,37.71,26,4822,845,2288,805,4.2281,5.990062112,1.049689441,2.842236025,0.17523849,0.351835664,2.107517483,5.193102014,0.493684484,6.905464481,121.93,1.487596372,17.87682961,1.654047923,676,3.295836866,109.9306,25.32658161,1,1,0,0,0,0,0,206000
-121.92,37.64,46,1280,209,512,208,5.1406,6.153846154,1.004807692,2.461538462,0.16328125,0.40625,2.5,5.136875561,0.517299111,6.848055176,121.92,2.08836875,26.42576836,1.814922457,2116,3.850147602,236.4676,31.63446154,1,3,0,1,0,0,0,315600
-121.91,37.69,23,2179,308,926,299,5.9345,7.287625418,1.030100334,3.096989967,0.141349243,0.322894168,2.353131749,5.164817957,0.516426539,6.877187776,121.91,1.916215443,35.21829025,1.936508953,529,3.17805383,136.4935,43.24841304,1,1,0,0,0,0,0,259600
-121.91,37.68,20,1804,254,831,260,6.177,6.938461538,0.976923077,3.196153846,0.140798226,0.312876053,2.17087846,5.157779419,0.518164424,6.869958202,121.91,1.932635379,38.155329,1.970881468,400,3.044522438,123.54,42.85887692,1,1,0,0,0,0,0,262900
-121.91,37.68,18,3631,547,1700,520,5.817,6.982692308,1.051923077,3.269230769,0.150647205,0.305882353,2.135882353,5.157779419,0.518164424,6.869958202,121.91,1.779317647,33.837489,1.919419492,324,2.944438979,104.706,40.61832115,1,1,0,0,0,0,0,257300
-121.91,37.69,18,2876,423,1395,427,6.3132,6.735362998,0.990632319,3.266978923,0.147079277,0.30609319,2.061648746,5.164817957,0.516426539,6.877187776,121.91,1.932427527,39.85649424,1.989680934,324,2.944438979,113.6376,42.52169368,2,1,0,0,0,0,0,259200
-121.89,37.68,22,1898,239,734,245,6.2918,7.746938776,0.975510204,2.995918367,0.125922023,0.333787466,2.585831063,5.143582072,0.53783861,6.856148314,121.89,2.100123978,39.58674724,1.986750429,484,3.135494216,138.4196,48.74218939,1,1,0,0,0,0,0,334100
-121.88,37.67,16,4070,624,1543,577,6.5214,7.05372617,1.081455806,2.674176776,0.153316953,0.373946857,2.63771873,5.129439982,0.549505569,6.842010355,121.88,2.438657032,42.52865796,2.017752291,256,2.833213344,104.3424,46.00016984,2,1,0,1,0,0,0,311500
-121.88,37.67,25,2244,301,937,324,6.4524,6.925925926,0.929012346,2.891975309,0.134135472,0.345784418,2.394877268,5.129439982,0.549505569,6.842010355,121.88,2.231139381,41.63346576,2.008536128,625,3.258096538,161.31,44.68884444,2,1,0,1,0,0,0,296900
-121.89,37.67,20,2948,471,1181,474,6.0604,6.219409283,0.993670886,2.491561181,0.159769335,0.401354784,2.49618967,5.136533902,0.539692848,6.848911132,121.89,2.432370533,36.72844816,1.954501707,400,3.044522438,121.208,37.69210802,1,1,0,1,0,0,0,247900
-121.89,37.67,19,2034,288,852,295,6.5285,6.894915254,0.976271186,2.888135593,0.14159292,0.346244131,2.387323944,5.136533902,0.539692848,6.848911132,121.89,2.260454812,42.62131225,2.018695819,361,2.995732274,124.0415,45.01345424,2,1,0,1,0,0,0,300400
-121.88,37.66,29,2702,680,1360,642,3.1127,4.208722741,1.059190031,2.118380062,0.251665433,0.472058824,1.986764706,5.122391876,0.551501922,6.834772835,121.88,1.4693775,9.68890129,1.414079747,841,3.401197382,90.2683,13.10049128,0,2,0,1,0,0,0,233000
-121.87,37.67,10,4337,800,1813,743,5.5,5.837146703,1.076716016,2.440107672,0.184459304,0.409817981,2.392167678,5.12235576,0.559324923,6.835117241,121.87,2.253998897,30.25,1.871802177,100,2.397895273,55,32.10430686,1,0,0,1,0,0,0,247200
-121.87,37.67,28,1812,294,853,278,4.9879,6.517985612,1.057553957,3.068345324,0.162251656,0.325908558,2.124267292,5.12235576,0.559324923,6.835117241,121.87,1.625599297,24.87914641,1.789740766,784,3.36729583,139.6612,32.51106043,1,2,0,1,0,0,0,229400
-121.85,37.66,14,4236,701,1833,663,5.6399,6.389140271,1.057315234,2.764705882,0.165486308,0.361702128,2.31096563,5.10113914,0.580877242,6.814094635,121.85,2.03996383,31.80847201,1.893096903,196,2.708050201,78.9586,36.03411222,1,1,0,1,0,0,0,300600
-121.86,37.66,22,3634,664,1699,640,4.1597,5.678125,1.0375,2.6546875,0.182718767,0.376692172,2.138905238,5.108213634,0.571078252,6.820979673,121.86,1.566926427,17.30310409,1.640878438,484,3.135494216,91.5134,23.61929656,1,1,0,1,0,0,0,293200
-121.87,37.66,27,1569,242,583,214,5.7519,7.331775701,1.130841121,2.724299065,0.154238368,0.367066895,2.691252144,5.115297893,0.561286353,6.827872414,121.87,2.111332075,33.08435361,1.909823947,729,3.33220451,155.3013,42.17164065,1,2,0,1,0,0,0,278500
-121.82,37.73,47,127,23,51,21,4.3472,6.047619048,1.095238095,2.428571429,0.181102362,0.411764706,2.490196078,5.129925392,0.601079338,6.844600332,121.82,1.790023529,18.89814784,1.676573059,2209,3.871201011,204.3184,26.29020952,1,3,0,1,0,0,0,375000
-121.62,37.61,26,1786,306,771,279,5.7239,6.401433692,1.096774194,2.76344086,0.171332587,0.361867704,2.316472114,4.904828491,0.816230586,6.620873183,121.62,2.071294553,32.76303121,1.905668343,676,3.295836866,148.8214,36.64116631,1,1,0,1,0,0,0,430600
-121.73,37.71,12,5608,1049,2595,1067,3.9864,5.255857545,0.983130272,2.432052484,0.187054208,0.411175337,2.161078998,5.053096925,0.692448099,6.768890581,121.73,1.639109364,15.89138496,1.606714207,144,2.564949357,47.8368,20.95195052,1,0,0,1,0,0,0,200200
-121.8,37.7,22,5533,943,2474,910,4.7361,6.08021978,1.036263736,2.718681319,0.170431954,0.367825384,2.236459175,5.094478828,0.623912149,6.809011654,121.8,1.742057801,22.43064321,1.746779537,484,3.135494216,104.1942,28.7965289,1,1,0,1,0,0,0,216800
-121.8,37.69,17,3956,639,2222,662,5.4324,5.975830816,0.965256798,3.356495468,0.161526795,0.297929793,1.780378038,5.087323317,0.625191467,6.801694914,121.8,1.618473807,29.51096976,1.861347719,289,2.890371758,92.3508,32.46310332,1,1,0,1,0,0,0,215500
-121.82,37.69,12,1906,351,802,319,4.9375,5.97492163,1.10031348,2.514106583,0.184155299,0.397755611,2.376558603,5.10132439,0.605382829,6.815351033,121.82,1.963918329,24.37890625,1.781288169,144,2.564949357,59.25,29.50117555,1,0,0,1,0,0,0,227700
-121.76,37.69,29,3433,711,1919,709,3.3841,4.84203103,1.002820874,2.706629055,0.207107486,0.369463262,1.788952579,5.059442116,0.664843117,6.774477227,121.76,1.250300625,11.45213281,1.47798436,841,3.401197382,98.1389,16.38591721,0,2,0,1,0,0,0,184400
-121.77,37.68,36,1687,372,950,372,3.5532,4.534946237,1,2.553763441,0.220509781,0.391578947,1.775789474,5.059221732,0.656297471,6.773937828,121.77,1.391358316,12.62523024,1.515830282,1296,3.610917913,127.9152,16.11357097,1,2,0,1,0,0,0,158400
-121.78,37.69,34,2358,498,1157,461,3.3618,5.114967462,1.080260304,2.509761388,0.211195929,0.398444252,2.038029386,5.073362448,0.645011915,6.788070249,121.78,1.339489888,11.30169924,1.472884816,1156,3.555348061,114.3012,17.19549761,0,2,0,1,0,0,0,174600
-121.78,37.69,35,2853,588,1761,572,4.3533,4.987762238,1.027972028,3.078671329,0.206098843,0.324815446,1.620102215,5.073362448,0.645011915,6.788070249,121.78,1.41401908,18.95122089,1.677713193,1225,3.583518938,152.3655,21.71322535,1,2,0,1,0,0,0,168400
-121.76,37.7,9,3980,736,1705,679,5.7068,5.861561119,1.083946981,2.511045655,0.184924623,0.398240469,2.33431085,5.066637004,0.663640241,6.781823332,121.76,2.27267871,32.56756624,1.903121937,81,2.302585093,51.3612,33.450757,1,0,0,1,0,0,0,256700
-121.75,37.69,26,2647,536,1422,522,3.7212,5.070881226,1.026819923,2.724137931,0.202493389,0.367088608,1.861462729,5.052497257,0.674762454,6.767692642,121.75,1.366010127,13.84732944,1.552063005,676,3.295836866,96.7512,18.86976322,1,1,0,1,0,0,0,183800
-121.75,37.68,35,1755,299,702,263,5.2443,6.673003802,1.136882129,2.669201521,0.17037037,0.374643875,2.5,5.045302026,0.676093462,6.760345975,121.75,1.964744872,27.50268249,1.831669048,1225,3.583518938,183.5505,34.99523384,1,2,0,1,0,0,0,183400
-121.76,37.68,35,1864,357,1189,349,4.2361,5.340974212,1.022922636,3.406876791,0.191523605,0.29352397,1.567703953,5.052256776,0.666193943,6.767137925,121.76,1.243396888,17.94454321,1.655576946,1225,3.583518938,148.2635,22.62490086,1,2,0,1,0,0,0,177500
-121.76,37.68,32,1078,207,555,197,3.1856,5.472081218,1.050761421,2.817258883,0.192022263,0.354954955,1.942342342,5.052256776,0.666193943,6.767137925,121.76,1.130744505,10.14804736,1.431650063,1024,3.496507561,101.9392,17.43186193,0,2,0,1,0,0,0,186900
-121.77,37.68,44,495,112,277,109,2.6667,4.541284404,1.027522936,2.541284404,0.226262626,0.393501805,1.78700361,5.059221732,0.656297471,6.773937828,121.77,1.049351264,7.11128889,1.299292075,1936,3.80666249,117.3348,12.11024312,0,3,0,1,0,0,0,179200
-121.76,37.68,52,2157,418,929,419,3.7301,5.14797136,0.997613365,2.217183771,0.193787668,0.451022605,2.321851453,5.052256776,0.666193943,6.767137925,121.76,1.682359419,13.91364601,1.553946344,2704,3.970291914,193.9652,19.20244797,1,3,0,1,0,0,0,204400
-121.77,37.68,41,1501,299,629,288,4.6806,5.211805556,1.038194444,2.184027778,0.199200533,0.457869634,2.386327504,5.059221732,0.656297471,6.773937828,121.77,2.14310461,21.90801636,1.737056861,1681,3.737669618,191.9046,24.39437708,1,3,0,1,0,0,0,209400
-121.76,37.67,6,3023,518,1225,468,6.3705,6.459401709,1.106837607,2.617521368,0.171352961,0.382040816,2.467755102,5.045081023,0.667691823,6.759805448,121.76,2.43379102,40.58327025,1.997485547,36,1.945910149,38.223,41.14961859,2,0,0,1,0,0,0,350000
-121.78,37.67,26,2211,344,1024,321,5.2649,6.887850467,1.07165109,3.190031153,0.155585708,0.313476563,2.159179688,5.059040871,0.647947814,6.773427914,121.78,1.650422754,27.71917201,1.834962627,676,3.295836866,136.8874,36.26384393,1,1,0,1,0,0,0,199800
-121.79,37.67,26,2163,339,947,346,6.0797,6.251445087,0.979768786,2.73699422,0.156726768,0.365364308,2.28405491,5.066035978,0.638081789,6.780251006,121.79,2.221305385,36.96275209,1.957231534,676,3.295836866,158.0722,38.00691069,1,1,0,1,0,0,0,211000
-121.78,37.67,28,1773,278,804,269,4.8571,6.591078067,1.033457249,2.988847584,0.15679639,0.334577114,2.205223881,5.059040871,0.647947814,6.773427914,121.78,1.625074502,23.59142041,1.767654601,784,3.36729583,135.9988,32.01352528,1,2,0,1,0,0,0,201100
-121.78,37.66,25,1947,418,900,354,3.8523,5.5,1.18079096,2.542372881,0.214689266,0.393333333,2.163333333,5.051894549,0.649641724,6.766117033,121.78,1.515238,14.84021529,1.579452819,625,3.258096538,96.3075,21.18765,1,1,0,1,0,0,0,193000
-120.59,38.45,13,2944,558,1091,466,3,6.317596567,1.197424893,2.341201717,0.189538043,0.427131072,2.698441797,4.984552992,1.949990864,6.681283687,120.59,1.281393217,9,1.386294361,169,2.63905733,39,18.9527897,0,0,0,1,0,0,0,119000
-120.88,38.45,25,1374,297,657,288,2.5476,4.770833333,1.03125,2.28125,0.216157205,0.438356164,2.091324201,5.127447955,1.680926045,6.83464803,120.88,1.116756164,6.49026576,1.266271319,625,3.258096538,63.69,12.154175,0,1,0,1,0,0,0,97900
-120.79,38.43,40,1391,246,546,214,3.9107,6.5,1.14953271,2.551401869,0.176851186,0.391941392,2.547619048,5.064462117,1.75616069,6.769205249,120.79,1.532765201,15.29357449,1.591416498,1600,3.713572067,156.428,25.41955,1,3,0,1,0,0,0,129800
-120.69,38.44,13,1473,265,597,228,4.2917,6.460526316,1.162280702,2.618421053,0.179904956,0.381909548,2.467336683,5.023661267,1.852884878,6.724637217,120.69,1.639041206,18.41868889,1.666139555,169,2.63905733,55.7921,27.72664079,1,0,0,1,0,0,0,121300
-120.93,38.5,15,1248,234,529,216,3.3393,5.777777778,1.083333333,2.449074074,0.1875,0.40831758,2.359168242,5.19606895,1.656527202,6.903820225,120.93,1.363494896,11.15092449,1.467713045,225,2.772588722,50.0895,19.29373333,0,1,0,1,0,0,0,107200
-120.87,38.37,28,3998,765,1614,698,2.8125,5.727793696,1.095988539,2.312320917,0.191345673,0.432465923,2.477075589,5.053795458,1.65975431,6.762177734,120.87,1.216310409,7.91015625,1.338285142,784,3.36729583,78.75,16.10941977,0,2,0,1,0,0,0,113400
-120.98,38.34,27,3471,653,1793,600,3.5508,5.785,1.088333333,2.988333333,0.188130222,0.33463469,1.935861684,5.086508285,1.546353895,6.798290057,120.98,1.188220859,12.60818064,1.515303042,729,3.33220451,95.8716,20.541378,1,2,0,1,0,0,0,99100
-120.88,38.32,18,2791,492,1187,438,3.2589,6.372146119,1.123287671,2.710045662,0.176280903,0.368997473,2.351305813,5.016392581,1.633060431,6.725949427,120.88,1.202525864,10.62042921,1.449010911,324,2.944438979,58.6602,20.76618699,0,1,0,1,0,0,0,103000
-120.72,38.42,17,5654,1085,2237,953,3.0465,5.932843652,1.138509969,2.347324239,0.19189954,0.426016987,2.527492177,5.020930046,1.817722303,6.723452067,120.72,1.297860751,9.28116225,1.39785231,289,2.890371758,51.7905,18.07440818,0,1,0,1,0,0,0,144100
-120.77,38.38,15,4221,816,1737,743,2.3125,5.68102288,1.098250336,2.33781965,0.193319119,0.427748993,2.430051813,5.011191927,1.756891109,6.716282729,120.77,0.989169545,5.34765625,1.197703191,225,2.772588722,34.6875,13.13736541,0,1,0,1,0,0,0,128600
-120.72,38.38,9,1787,347,806,306,2.525,5.839869281,1.133986928,2.633986928,0.19418019,0.379652605,2.217121588,4.986172333,1.80391418,6.689548841,120.72,0.958622829,6.375625,1.259880436,81,2.302585093,22.725,14.74566993,0,0,0,1,0,0,0,157200
-120.66,38.4,18,2144,420,985,381,3.175,5.627296588,1.102362205,2.585301837,0.195895522,0.38680203,2.176649746,4.974120076,1.867147121,6.674845893,120.66,1.228096447,10.080625,1.429114358,324,2.944438979,57.15,17.86666667,0,1,0,1,0,0,0,118500
-120.65,38.42,23,1538,305,730,267,2.6078,5.760299625,1.142322097,2.734082397,0.198309493,0.365753425,2.106849315,4.986778171,1.883329597,6.686662972,120.65,0.953811781,6.80062084,1.283098168,529,3.17805383,59.9794,15.02170936,0,1,0,1,0,0,0,116700
-120.62,38.39,15,3750,691,1444,603,2.7399,6.218905473,1.145936982,2.394693201,0.184266667,0.417590028,2.596952909,4.946039884,1.901627821,6.645424719,120.62,1.144154917,7.50705201,1.319058873,225,2.772588722,41.0985,17.0391791,0,1,0,1,0,0,0,134800
-120.69,38.36,19,3267,614,1252,566,2.7236,5.772084806,1.084805654,2.212014134,0.187940006,0.452076677,2.60942492,4.953940303,1.825696133,6.656670166,120.69,1.231276038,7.41799696,1.314690942,361,2.995732274,51.7484,15.72085018,0,1,0,1,0,0,0,109900
-120.71,38.34,16,1257,231,559,213,4.4531,5.901408451,1.084507042,2.624413146,0.183770883,0.381037567,2.248658318,4.94650023,1.800385062,6.650371546,120.71,1.69679839,19.83009961,1.696184254,256,2.833213344,71.2496,26.27956197,1,1,0,1,0,0,0,144300
-120.8,38.31,37,1341,256,533,242,3.2135,5.541322314,1.05785124,2.202479339,0.190902312,0.454033771,2.515947467,4.966239073,1.705517039,6.673663589,120.8,1.459037523,10.32658225,1.438293656,1369,3.63758616,118.8995,17.80703926,0,2,0,1,0,0,0,123600
